	k_groups_corrected
NR3C2	13k73
SMPD3	13k73
PLA2G10	13k73
MAOA	13k73
IMPA2	67k19
SOCS6	67k19
MPPE1	67k19
ABHD3	67k19
SGMS1	67k19
VPS4B	67k19
CHMP1B	67k19
PSEN1	67k19
P2RX4	67k19
TMED10	67k19
LRP10	67k19
EDEM3	67k19
MGAT2	67k19
NOMO3	96k14
NOMO1	96k14
GSK3B	96k14
TRIM28	96k14
ACD	96k14
EPHB2	96k14
EFNA4	96k14
EHMT2	96k14
SCARB1	96k14
FERMT2	22k45
SLIT2	22k45
ANGPT1	22k45
NOTCH2	22k45
PCSK5	22k45
WWTR1	22k45
PKD2	22k45
JAM3	22k45
COL16A1	22k45
LAMA2	22k45
RDX	22k45
CAV1	22k45
IL1R1	22k45
TRPC1	22k45
HOXB2	22k45
PARVA	22k45
TWSG1	22k45
DPT	22k45
GPRASP1	22k45
NISCH	22k45
IL11RA	22k45
GAS2L1	106k13
KLF9	106k13
MAPRE2	106k13
ALOX5	106k13
ISL1	106k13
RRAD	106k13
AHNAK	106k13
DAPK1	106k13
SEC14L1	106k13
LTBP4	106k13
NFKBIA	106k13
ADM	0
FZD5	0
NCOA1	0
RIPK1	0
TAOK3	0
PEA15	0
PPP2R1A	0
BOP1	97k14
EXOSC4	97k14
RRS1	97k14
POP1	97k14
TGS1	97k14
MTERF3	97k14
SLC3A2	97k14
SLC7A5	97k14
SLC52A2	97k14
RECQL4	97k14
RAD54B	97k14
MYC	97k14
DSC2	85k17
DSG2	85k17
TMBIM6	85k17
DDAH1	85k17
GATA6	85k17
KLF5	85k17
CDH17	85k17
TSPAN12	85k17
CARMIL1	85k17
TSPAN8	85k17
EPCAM	85k17
NDUFS1	149k10
ATP5PB	149k10
UQCRC2	149k10
NDUFA10	149k10
NDUFB5	149k10
ATP5MC3	149k10
PPA2	149k10
GOT1	149k10
HADH	149k10
ECI1	149k10
DDX49	16k57
DDX54	16k57
PDCD11	16k57
MPHOSPH10	16k57
UTP20	16k57
AATF	16k57
PAK1IP1	16k57
EXOSC5	16k57
